Site_Id,Barangay,Crop,reading_index,pH_reading,mean_ph,sd_ph(sample),fertilizer_type_extracted,sacks_per_ha,lime_applied,years_planted,fertilizer_kg_ha,fertilizer_type_group,organic_fertilizer,crop_cassava,crop_corn
Dolorosa_Cassava_2,Dolorosa,Cassava,2,3.6,,,21-00-00;urea,1,0,1,50,Urea,0,1,0
Dolorosa_Cassava_3,Dolorosa,Cassava,3,4,,,21-00-00;urea,1,0,1,50,Urea,0,1,0
Dolorosa_Cassava_4,Dolorosa,Cassava,4,3.3,,,21-00-00;urea,1,0,1,50,Urea,0,1,0
Dolorosa_Cassava_5,Dolorosa,Cassava,5,3.2,,,21-00-00;urea,1,0,1,50,Urea,0,1,0
Dolorosa_Corn_1,Dolorosa,Corn,1,3.6,3.34,0.1949358869,14-14-14;urea,5,0,15,250,Urea,0,0,1
Dolorosa_Corn_2,Dolorosa,Corn,2,3.4,,,14-14-14;urea,5,0,15,250,Urea,0,0,1
Dolorosa_Corn_3,Dolorosa,Corn,3,3.4,,,14-14-14;urea,5,0,15,250,Urea,0,0,1
Dolorosa_Corn_4,Dolorosa,Corn,4,3.2,,,14-14-14;urea,5,0,15,250,Urea,0,0,1
Dolorosa_Corn_5,Dolorosa,Corn,5,3.1,,,14-14-14;urea,5,0,15,250,Urea,0,0,1
Miaray_sugarcane_1,Miaray,Sugarcane,1,4.1,4.5,0.5118593557,,3,0,,,Unknown,0,0,0
Miaray_sugarcane_2,Miaray,Sugarcane,2,3.6,,,,3,0,,,Unknown,0,0,0
Miaray_sugarcane_3,Miaray,Sugarcane,3,4.7,,,,3,0,,,Unknown,0,0,0
Miaray_sugarcane_4,Miaray,Sugarcane,4,4.3,,,,3,0,,,Unknown,0,0,0
Miaray_sugarcane_5,Miaray,Sugarcane,5,4.9,,,,3,0,,,Unknown,0,0,0
Miaray_cassava_1,Miaray,Cassava,1,5.35,4.63,0.411703777,,2,0,,,Unknown,0,1,0
Miaray_cassava_2,Miaray,Cassava,2,4.4,,,,2,0,,,Unknown,0,1,0
Miaray_cassava_3,Miaray,Cassava,3,4.4,,,,2,0,,,Unknown,0,1,0
Miaray_cassava_4,Miaray,Cassava,4,4.4,,,,2,0,,,Unknown,0,1,0
Miaray_cassava_5,Miaray,Cassava,5,4.6,,,,2,0,,,Unknown,0,1,0
Miaray_Corn_1,Miaray,Corn,1,5.1,4.16,0.6107372594,"114-14-14, 21-00-00",2,0,2,100,NPK,0,0,1
Miaray_Corn_2,Miaray,Corn,2,3.4,,,"114-14-14, 21-00-00",2,0,2,100,NPK,0,0,1
Miaray_Corn_3,Miaray,Corn,3,4.1,,,"114-14-14, 21-00-00",2,0,2,100,NPK,0,0,1
Miaray_Corn_4,Miaray,Corn,4,4,,,"114-14-14, 21-00-00",2,0,2,100,NPK,0,0,1
Miaray_Corn_5,Miaray,Corn,5,4.2,,,"114-14-14, 21-00-00",2,0,2,100,NPK,0,0,1
